producto,id_producto,minimo_sin_iva,minimo_con_iva,maximo_sin_iva,maximo_con_iva
Aviso Simple Combo,"8,603.00",130.95,151.90,150.59,174.69
Aviso Destacado Combo,"8,599.00",240.78,279.30,276.89,321.20
Aviso Superdestacado Combo,"8,607.00",430.86,499.80,495.49,574.77
5 Avisos Simples Combo,"8,635.00",491.06,569.63,564.71,655.07
5 Avisos Destacados Combo,"8,631.00",902.91,"1,047.38","1,038.35","1,204.48"
5 Avisos Superdestacados Combo,"8,639.00","1,615.73","1,874.25","1,858.09","2,155.39"
10 Avisos Simples Combo,"8,611.00",736.58,854.44,847.07,982.60
10 Avisos Destacados Combo Mensual,"8,652.00","1,354.36","1,571.06","1,557.52","1,806.72"
10 Avisos Superdestacados Combo,"8,656.00","2,423.60","2,811.38","2,787.14","3,233.08"
30 Avisos Simples,"8,858.00","1,657.31","1,922.48","1,905.91","2,210.86"
25 Avisos Destacados Combo Mensual,"8,653.00","2,708.73","3,142.13","3,115.04","3,613.44"
25 Avisos Superdestacados Combo,"8,658.00","4,847.20","5,622.75","5,574.28","6,466.16"
50 Avisos Simples Combo,"8,643.00","2,209.75","2,563.31","2,541.21","2,947.81"
50 Destacados combo Mensual,"20,220.00","4,063.09","4,713.19","4,672.56","5,420.17"
50 superdestcados combo mensual,"20,221.00","7,270.80","8,434.13","8,361.42","9,699.24"
80 Avisos Simples Combo,"8,651.00","2,828.48","3,281.04","3,252.76","3,773.20"
100 Avisos Simples Combo,"8,615.00","3,182.04","3,691.17","3,659.35","4,244.85"
100 Destacados combo mensual,"20,222.00","5,850.85","6,786.99","6,728.48","7,805.04"
100 Superdestacados combo mensual,"20,223.00","10,469.95","12,145.14","12,040.44","13,966.91"
200 Avisos Simples Combo,"8,619.00","4,773.06","5,536.76","5,489.02","6,367.27"
500 Avisos Simples Combo,"8,647.00","8,949.50","10,381.42","10,291.92","11,938.63"
Pack Bolillo 5S + 1D Combo Mensual,"20,254.00",671.64,779.10,772.38,895.97
Pack 10 Combo,"8,680.00","1,045.47","1,212.75","1,202.30","1,394.66"
Pack 15 Combo,"8,681.00","1,413.77","1,639.97","1,625.83","1,885.96"
Pack 30 Combo,"8,682.00","2,120.65","2,459.95","2,438.75","2,828.95"
Pack 50 Combo,"8,683.00","2,765.75","3,208.28","3,180.62","3,689.52"
Pack 80 Combo,"8,684.00","3,678.17","4,266.68","4,229.89","4,906.68"
Pack 100 Combo,"8,685.00","4,080.20","4,733.03","4,692.23","5,442.99"
Pack 200 Combo,"8,686.00","5,820.06","6,751.27","6,693.07","7,763.96"
Pack 350 Combo,"8,687.00","8,141.92","9,444.63","9,363.21","10,861.33"
Pack 500 Combo,"8,688.00","10,724.96","12,440.95","12,333.70","14,307.10"
Pack 10 Premium,"8,691.00","1,568.21","1,819.13","1,803.44","2,091.99"
Pack 25 Premium,"8,692.00","3,307.50","3,836.70","3,803.63","4,412.21"
Pack 50 Premium,"8,693.00","4,832.94","5,606.21","5,557.88","6,447.14"
Alquiler 10 Simples Suscrip,"10,695.00",496.55,576.00,571.03,662.40
Alquiler 30 Simples Suscrip,"10,696.00","1,117.24","1,296.00","1,284.83","1,490.40"
Alquiler 50 Simples Suscrip,"10,697.00","1,862.07","2,160.00","2,141.38","2,484.00"
Alquiler 100 Simples Suscrip,"10,698.00","2,482.76","2,880.00","2,855.17","3,312.00"
