producto,id_producto,minimo_sin_iva,minimo_con_iva,maximo_sin_iva,maximo_con_iva
Aviso Simple Combo,8603,86.9,100.8,99.93,115.92
Aviso Destacado Combo,8599,155.17,180,178.45,207
Aviso Superdestacado Combo,8607,242.07,280.8,278.38,322.92
5 Avisos Simples Combo,8635,325.86,378,374.74,434.7
5 Avisos Destacados Combo,8631,581.9,675,669.18,776.25
5 Avisos Superdestacados Combo,8639,907.76,1053,1043.92,1210.95
10 Avisos Simples Combo,8611,488.79,567,562.11,652.05
10 Avisos Destacados Combo Mensual,8652,872.84,1012.5,1003.77,1164.38
10 Avisos Superdestacados Combo,8656,1361.64,1579.5,1565.88,1816.43
30 Avisos Simples,8858,1099.78,1275.75,1264.75,1467.11
25 Avisos Destacados Combo Mensual,8653,1745.69,2025,2007.54,2328.75
25 Avisos Superdestacados Combo,8658,2723.28,3159,3131.77,3632.85
50 Avisos Simples Combo,8643,1466.38,1701,1686.34,1956.15
50 Destacados combo Mensual,20220,2618.53,3037.5,3011.31,3493.13
50 superdestcados combo mensual,20221,4084.91,4738.5,4697.65,5449.28
80 Avisos Simples Combo,8651,1876.97,2177.28,2158.51,2503.87
100 Avisos Simples Combo,8615,2111.59,2449.44,2428.32,2816.86
100 Destacados combo mensual,20222,3770.69,4374,4336.29,5030.1
100 Superdestacados combo mensual,20223,5882.28,6823.44,6764.62,7846.96
200 Avisos Simples Combo,8619,3167.38,3674.16,3642.49,4225.28
500 Avisos Simples Combo,8647,5938.84,6889.05,6829.66,7922.41
Pack Bolillo 5S + 1D Combo Mensual,20254,442.24,513,508.58,589.95
Pack 10 Combo,8680,680.82,789.75,782.94,908.21
Pack 15 Combo,8681,925.22,1073.25,1064,1234.24
Pack 30 Combo,8682,1387.82,1609.88,1596,1851.36
Pack 50 Combo,8683,1812.03,2101.95,2083.83,2417.24
Pack 80 Combo,8684,2362.97,2741.04,2717.41,3152.2
Pack 100 Combo,8685,2631.94,3053.05,3026.73,3511.01
Pack 200 Combo,8686,3761.26,4363.07,4325.45,5017.52
Pack 350 Combo,8687,5259.66,6101.21,6048.61,7016.39
Pack 500 Combo,8688,6935.71,8045.43,7976.07,9252.24
Pack 10 Premium,8691,970.6,1125.9,1116.19,1294.79
Pack 25 Premium,8692,2019.41,2342.52,2322.33,2693.9
Pack 50 Premium,8693,2970.47,3445.74,3416.04,3962.6
Alquiler 10 Simples Suscrip,10695,418.1,485,480.82,557.75
Alquiler 30 Simples Suscrip,10696,1003.45,1164,1153.97,1338.6
Alquiler 50 Simples Suscrip,10697,1672.41,1940,1923.28,2231
Alquiler 100 Simples Suscrip,10698,2508.62,2910,2884.91,3346.5
