producto,id_producto,minimo_sin_iva,minimo_con_iva,maximo_sin_iva,maximo_con_iva
Aviso Simple Combo,8603,130.9482759,151.9,150.5905172,174.685
Aviso Destacado Combo,8599,240.7758621,279.3,276.8922414,321.195
Aviso Superdestacado Combo,8607,430.862069,499.8,495.4913793,574.77
5 Avisos Simples Combo,8635,491.0560345,569.625,564.7144397,655.06875
5 Avisos Destacados Combo,8631,902.9094828,1047.375,1038.345905,1204.48125
5 Avisos Superdestacados Combo,8639,1615.732759,1874.25,1858.092672,2155.3875
10 Avisos Simples Combo,8611,736.5840517,854.4375,847.0716595,982.603125
10 Avisos Destacados Combo Mensual,8652,1354.364224,1571.0625,1557.518858,1806.721875
10 Avisos Superdestacados Combo,8656,2423.599138,2811.375,2787.139009,3233.08125
30 Avisos Simples,8858,1657.314116,1922.484375,1905.911234,2210.857031
25 Avisos Destacados Combo Mensual,8653,2708.728448,3142.125,3115.037716,3613.44375
25 Avisos Superdestacados Combo,8658,4847.198276,5622.75,5574.278017,6466.1625
50 Avisos Simples Combo,8643,2209.752155,2563.3125,2541.214978,2947.809375
50 Destacados combo Mensual,20220,4063.092672,4713.1875,4672.556573,5420.165625
50 superdestcados combo mensual,20221,7270.797414,8434.125,8361.417026,9699.24375
80 Avisos Simples Combo,8651,2828.482759,3281.04,3252.755172,3773.196
100 Avisos Simples Combo,8615,3182.043103,3691.17,3659.349569,4244.8455
100 Destacados combo mensual,20222,5850.853448,6786.99,6728.481466,7805.0385
100 Superdestacados combo mensual,20223,10469.94828,12145.14,12040.44052,13966.911
200 Avisos Simples Combo,8619,4773.064655,5536.755,5489.024353,6367.26825
500 Avisos Simples Combo,8647,8949.496228,10381.41563,10291.92066,11938.62797
Pack Bolillo 5S + 1D Combo Mensual,20254,671.637931,779.1,772.3836207,895.965
Pack 10 Combo,8680,1045.474138,1212.75,1202.295259,1394.6625
Pack 15 Combo,8681,1413.766164,1639.96875,1625.831088,1885.964063
Pack 30 Combo,8682,2120.649246,2459.953125,2438.746633,2828.946094
Pack 50 Combo,8683,2765.75431,3208.275,3180.617457,3689.51625
Pack 80 Combo,8684,3678.168103,4266.675,4229.893319,4906.67625
Pack 100 Combo,8685,4080.200431,4733.0325,4692.230496,5442.987375
Pack 200 Combo,8686,5820.059483,6751.269,6693.068405,7763.95935
Pack 350 Combo,8687,8141.924483,9444.6324,9363.213155,10861.32726
Pack 500 Combo,8688,10724.9608,12440.95453,12333.70492,14307.09771
Pack 10 Premium,8691,1568.211207,1819.125,1803.442888,2091.99375
Pack 25 Premium,8692,3307.5,3836.7,3803.625,4412.205
Pack 50 Premium,8693,4832.94181,5606.2125,5557.883082,6447.144375
Alquiler 10 Simples Suscrip,10695,496.5517241,576,571.0344828,662.4
Alquiler 30 Simples Suscrip,10696,1117.241379,1296,1284.827586,1490.4
Alquiler 50 Simples Suscrip,10697,1862.068966,2160,2141.37931,2484
Alquiler 100 Simples Suscrip,10698,2482.758621,2880,2855.172414,3312
