producto,id_producto,minimo_sin_iva,minimo_con_iva,maximo_sin_iva,maximo_con_iva
Aviso Simple Combo,8603,$108.6,$126.0,$124.9,$144.9
Aviso Destacado Combo,8599,$181.0,$210.0,$208.2,$241.5
Aviso Superdestacado Combo,8607,$222.4,$258.0,$255.8,$296.7
5 Avisos Simples Combo,8635,$407.3,$472.5,$468.4,$543.4
5 Avisos Destacados Combo,8631,$678.9,$787.5,$780.7,$905.6
5 Avisos Superdestacados Combo,8639,$834.1,$967.5,$959.2,"$1,112.6"
10 Avisos Simples Combo,8611,$611.0,$708.8,$702.6,$815.1
10 Avisos Destacados Combo Mensual,8652,"$1,018.3","$1,181.3","$1,171.1","$1,358.4"
10 Avisos Superdestacados Combo,8656,"$1,251.1","$1,451.3","$1,438.7","$1,668.9"
30 Avisos Simples,8858,"$1,374.7","$1,594.7","$1,580.9","$1,833.9"
25 Avisos Destacados Combo Mensual,8653,"$2,036.6","$2,362.5","$2,342.1","$2,716.9"
25 Avisos Superdestacados Combo,8658,"$2,502.2","$2,902.5","$2,877.5","$3,337.9"
50 Avisos Simples Combo,8643,"$1,833.0","$2,126.3","$2,107.9","$2,445.2"
50 Destacados combo Mensual,20220,"$3,055.0","$3,543.8","$3,513.2","$4,075.3"
50 superdestcados combo mensual,20221,"$3,753.2","$4,353.8","$4,316.2","$5,006.8"
80 Avisos Simples Combo,8651,"$2,346.2","$2,721.6","$2,698.1","$3,129.8"
100 Avisos Simples Combo,8615,"$2,639.5","$3,061.8","$3,035.4","$3,521.1"
100 Destacados combo mensual,20222,"$4,399.1","$5,103.0","$5,059.0","$5,868.5"
100 Superdestacados combo mensual,20223,"$5,404.7","$6,269.4","$6,215.4","$7,209.8"
200 Avisos Simples Combo,8619,"$3,959.2","$4,592.7","$4,553.1","$5,281.6"
500 Avisos Simples Combo,8647,"$7,423.5","$8,611.3","$8,537.1","$9,903.0"
Pack Bolillo 5S + 1D Combo Mensual,20254,$543.1,$630.0,$624.6,$724.5
Pack 10 Combo,8680,$814.7,$945.0,$936.9,"$1,086.8"
Pack 15 Combo,8681,"$1,120.2","$1,299.4","$1,288.2","$1,494.3"
Pack 30 Combo,8682,"$1,680.2","$1,949.1","$1,932.3","$2,241.4"
Pack 50 Combo,8683,"$2,199.6","$2,551.5","$2,529.5","$2,934.2"
Pack 80 Combo,8684,"$2,793.1","$3,240.0","$3,212.1","$3,726.0"
Pack 100 Combo,8685,"$3,129.7","$3,630.4","$3,599.1","$4,175.0"
Pack 200 Combo,8686,"$4,496.5","$5,216.0","$5,171.0","$5,998.4"
Pack 350 Combo,8687,"$6,285.0","$7,290.6","$7,227.7","$8,384.2"
Pack 500 Combo,8688,"$8,307.3","$9,636.5","$9,553.4","$11,081.9"
Pack 10 Premium,8691,"$1,064.9","$1,235.3","$1,224.6","$1,420.5"
Pack 25 Premium,8692,"$2,167.0","$2,513.7","$2,492.0","$2,890.8"
Pack 50 Premium,8693,"$3,222.5","$3,738.2","$3,705.9","$4,298.9"
Alquiler 10 Simples Suscrip,10695,$433.7,$503.1,$498.8,$578.6
Alquiler 30 Simples Suscrip,10696,$907.8,"$1,053.0","$1,043.9","$1,211.0"
Alquiler 50 Simples Suscrip,10697,"$1,512.9","$1,755.0","$1,739.9","$2,018.3"
Alquiler 100 Simples Suscrip,10698,"$2,017.2","$2,340.0","$2,319.8","$2,691.0"
