producto,id_producto,minimo_sin_iva,minimo_con_iva,maximo_sin_iva,maximo_con_iva
Aviso Simple Combo,8603,$86.9,$100.8,$99.9,$115.9
Aviso Destacado Combo,8599,$155.2,$180.0,$178.4,$207.0
Aviso Superdestacado Combo,8607,$242.1,$280.8,$278.4,$322.9
5 Avisos Simples Combo,8635,$325.9,$378.0,$374.7,$434.7
5 Avisos Destacados Combo,8631,$581.9,$675.0,$669.2,$776.3
5 Avisos Superdestacados Combo,8639,$907.8,"$1,053.0","$1,043.9","$1,211.0"
10 Avisos Simples Combo,8611,$488.8,$567.0,$562.1,$652.1
10 Avisos Destacados Combo Mensual,8652,$872.8,"$1,012.5","$1,003.8","$1,164.4"
10 Avisos Superdestacados Combo,8656,"$1,361.6","$1,579.5","$1,565.9","$1,816.4"
30 Avisos Simples,8858,"$1,099.8","$1,275.8","$1,264.8","$1,467.1"
25 Avisos Destacados Combo Mensual,8653,"$1,745.7","$2,025.0","$2,007.5","$2,328.8"
25 Avisos Superdestacados Combo,8658,"$2,723.3","$3,159.0","$3,131.8","$3,632.9"
50 Avisos Simples Combo,8643,"$1,466.4","$1,701.0","$1,686.3","$1,956.2"
50 Destacados combo Mensual,20220,"$2,618.5","$3,037.5","$3,011.3","$3,493.1"
50 superdestcados combo mensual,20221,"$4,084.9","$4,738.5","$4,697.7","$5,449.3"
80 Avisos Simples Combo,8651,"$1,877.0","$2,177.3","$2,158.5","$2,503.9"
100 Avisos Simples Combo,8615,"$2,111.6","$2,449.4","$2,428.3","$2,816.9"
100 Destacados combo mensual,20222,"$3,770.7","$4,374.0","$4,336.3","$5,030.1"
100 Superdestacados combo mensual,20223,"$5,882.3","$6,823.4","$6,764.6","$7,847.0"
200 Avisos Simples Combo,8619,"$3,167.4","$3,674.2","$3,642.5","$4,225.3"
500 Avisos Simples Combo,8647,"$5,938.8","$6,889.1","$6,829.7","$7,922.4"
Pack Bolillo 5S + 1D Combo Mensual,20254,$442.2,$513.0,$508.6,$590.0
Pack 10 Combo,8680,$680.8,$789.8,$782.9,$908.2
Pack 15 Combo,8681,$925.2,"$1,073.3","$1,064.0","$1,234.2"
Pack 30 Combo,8682,"$1,387.8","$1,609.9","$1,596.0","$1,851.4"
Pack 50 Combo,8683,"$1,812.0","$2,102.0","$2,083.8","$2,417.2"
Pack 80 Combo,8684,"$2,363.0","$2,741.0","$2,717.4","$3,152.2"
Pack 100 Combo,8685,"$2,631.9","$3,053.1","$3,026.7","$3,511.0"
Pack 200 Combo,8686,"$3,761.3","$4,363.1","$4,325.5","$5,017.5"
Pack 350 Combo,8687,"$5,259.7","$6,101.2","$6,048.6","$7,016.4"
Pack 500 Combo,8688,"$6,935.7","$8,045.4","$7,976.1","$9,252.2"
Pack 10 Premium,8691,$970.6,"$1,125.9","$1,116.2","$1,294.8"
Pack 25 Premium,8692,"$2,019.4","$2,342.5","$2,322.3","$2,693.9"
Pack 50 Premium,8693,"$2,970.5","$3,445.7","$3,416.0","$3,962.6"
Alquiler 10 Simples Suscrip,10695,$418.1,$485.0,$480.8,$557.8
Alquiler 30 Simples Suscrip,10696,"$1,003.4","$1,164.0","$1,154.0","$1,338.6"
Alquiler 50 Simples Suscrip,10697,"$1,672.4","$1,940.0","$1,923.3","$2,231.0"
Alquiler 100 Simples Suscrip,10698,"$2,508.6","$2,910.0","$2,884.9","$3,346.5"
